status	module	chapter	artifact_type	target_path	source_label	purpose	review
include	Module 1	Prompt contract: from four to seven elements	code-block	module-1-foundations/prompt-contract-from-four-to-seven-elements/code-blocks/en/02-the-full-contract-seven-elements.md	book-source:course-lesson-prompt-contract-content:en:code-block:2	EN copyable markdown block from Prompt contract: from four to seven elements.	approved-code-only
include	Module 1	Prompt contract: from four to seven elements	mermaid	module-1-foundations/prompt-contract-from-four-to-seven-elements/code-blocks/en/03-the-full-contract-seven-elements.mmd	book-source:course-lesson-prompt-contract-content:en:code-block:3	EN copyable mermaid block from Prompt contract: from four to seven elements.	approved-code-only
include	Module 2	Four-layer steering architecture	mermaid	module-2-single-agent-rules/four-layer-steering-architecture/code-blocks/en/01-code-block-1.mmd	book-source:course-lesson-steering-architecture-content:en:code-block:1	EN copyable mermaid block from Four-layer steering architecture.	approved-code-only
include	Module 2	Two-pass AGENTS.md	mermaid	module-2-single-agent-rules/two-pass-agents.md/code-blocks/en/01-the-loop-and-emergence.mmd	book-source:course-pattern-two-pass-agents-md-content:en:code-block:1	EN copyable mermaid block from Two-pass AGENTS.md.	approved-code-only
include	Module 2	Context engineering and progressive disclosure	mermaid	module-2-single-agent-rules/context-engineering-and-progressive-disclosure/code-blocks/en/01-progressive-disclosure-of-context.mmd	book-source:course-lesson-context-engineering-progressive-disclosure-content:en:code-block:1	EN copyable mermaid block from Context engineering and progressive disclosure.	approved-code-only
include	Module 2	Spec-anchored	mermaid	module-2-single-agent-rules/spec-anchored/code-blocks/en/01-three-documents-requirements-design-tasks.mmd	book-source:course-methodology-spec-anchored-content:en:code-block:1	EN copyable mermaid block from Spec-anchored.	approved-code-only
include	Module 2	Spec-anchored	code-block	module-2-single-agent-rules/spec-anchored/code-blocks/en/02-tasks.md-in-what-order.js	book-source:course-methodology-spec-anchored-content:en:code-block:2	EN copyable javascript block from Spec-anchored.	approved-code-only
include	Module 2	Spec-anchored	code-block	module-2-single-agent-rules/spec-anchored/code-blocks/en/03-requirements.md-excerpt.md	book-source:course-methodology-spec-anchored-content:en:code-block:3	EN copyable markdown block from Spec-anchored.	approved-code-only
include	Module 2	Spec-anchored	code-block	module-2-single-agent-rules/spec-anchored/code-blocks/en/04-design.md-excerpt.md	book-source:course-methodology-spec-anchored-content:en:code-block:4	EN copyable markdown block from Spec-anchored.	approved-code-only
include	Module 2	Spec-anchored	code-block	module-2-single-agent-rules/spec-anchored/code-blocks/en/05-tasks.md-excerpt.md	book-source:course-methodology-spec-anchored-content:en:code-block:5	EN copyable markdown block from Spec-anchored.	approved-code-only
include	Module 2	Spec-anchored	code-block	module-2-single-agent-rules/spec-anchored/code-blocks/en/06-self-eval-in-action.txt	book-source:course-methodology-spec-anchored-content:en:code-block:6	EN copyable text block from Spec-anchored.	approved-code-only
include	Module 3	Deterministic spec stages	mermaid	module-3-spec-driven-development/deterministic-spec-stages/code-blocks/en/01-the-principle-the-more-deterministic-stages-the-more-precise-the-result.mmd	book-source:course-pattern-deterministic-spec-stages-content:en:code-block:1	EN copyable mermaid block from Deterministic spec stages.	approved-code-only
include	Module 3	Deterministic spec stages	code-block	module-3-spec-driven-development/deterministic-spec-stages/code-blocks/en/02-the-last-stage-the-plan-before-the-code.txt	book-source:course-pattern-deterministic-spec-stages-content:en:code-block:2	EN copyable text block from Deterministic spec stages.	approved-code-only
include	Module 3	Agent loops / harness engineering	mermaid	module-3-spec-driven-development/agent-loops-harness-engineering/code-blocks/en/01-at-the-input-of-each-iteration-a-new-goal-and-a-narrow-context.mmd	book-source:course-pattern-agent-loops-harness-engineering-content:en:code-block:1	EN copyable mermaid block from Agent loops / harness engineering.	approved-code-only
include	Module 3	Spec self and auto evals	code-block	module-3-spec-driven-development/spec-self-and-auto-evals/code-blocks/en/01-the-checklist-a-file-in-the-repository.md	book-source:course-pattern-spec-self-auto-evals-content:en:code-block:1	EN copyable markdown block from Spec self and auto evals.	approved-code-only
include	Module 3	Spec self and auto evals	code-block	module-3-spec-driven-development/spec-self-and-auto-evals/code-blocks/en/02-the-agent-run-through.txt	book-source:course-pattern-spec-self-auto-evals-content:en:code-block:2	EN copyable text block from Spec self and auto evals.	approved-code-only
include	Module 3	Spec self and auto evals	code-block	module-3-spec-driven-development/spec-self-and-auto-evals/code-blocks/en/03-the-agent-run-through.txt	book-source:course-pattern-spec-self-auto-evals-content:en:code-block:3	EN copyable text block from Spec self and auto evals.	approved-code-only
include	Module 3	Spec self and auto evals	mermaid	module-3-spec-driven-development/spec-self-and-auto-evals/code-blocks/en/04-the-launch-window.mmd	book-source:course-pattern-spec-self-auto-evals-content:en:code-block:4	EN copyable mermaid block from Spec self and auto evals.	approved-code-only
include	Module 3	Hooks: lifecycle vs git-style	mermaid	module-3-spec-driven-development/hooks-lifecycle-vs-git-style/code-blocks/en/01-the-scenario.mmd	book-source:course-pattern-lifecycle-hooks-content:en:code-block:1	EN copyable mermaid block from Hooks: lifecycle vs git-style.	approved-code-only
include	Module 3	Hooks: lifecycle vs git-style	code-block	module-3-spec-driven-development/hooks-lifecycle-vs-git-style/code-blocks/en/02-the-hook-is-written-by-the-agent.txt	book-source:course-pattern-lifecycle-hooks-content:en:code-block:2	EN copyable text block from Hooks: lifecycle vs git-style.	approved-code-only
include	Module 3	Hooks: lifecycle vs git-style	code-block	module-3-spec-driven-development/hooks-lifecycle-vs-git-style/code-blocks/en/03-verification-break-it-and-see-the-block.txt	book-source:course-pattern-lifecycle-hooks-content:en:code-block:3	EN copyable text block from Hooks: lifecycle vs git-style.	approved-code-only
include	Module 3	CI/CD as loss function	mermaid	module-3-spec-driven-development/cicd-as-loss-function/code-blocks/en/01-the-closed-loop-and-access-to-signals.mmd	book-source:course-lesson-cicd-loss-function-content:en:code-block:1	EN copyable mermaid block from CI/CD as loss function.	approved-code-only
include	Module 3	Reusable workflow	code-block	module-3-spec-driven-development/reusable-workflow/code-blocks/en/01-a-skill-is-a-folder.txt	book-source:course-pattern-reusable-workflow-content:en:code-block:1	EN copyable text block from Reusable workflow.	approved-code-only
include	Module 3	Reusable workflow	code-block	module-3-spec-driven-development/reusable-workflow/code-blocks/en/02-where-to-get-them-and-how-to-create-them.txt	book-source:course-pattern-reusable-workflow-content:en:code-block:2	EN copyable text block from Reusable workflow.	approved-code-only
include	Module 3	Reusable workflow	mermaid	module-3-spec-driven-development/reusable-workflow/code-blocks/en/03-where-to-get-them-and-how-to-create-them.mmd	book-source:course-pattern-reusable-workflow-content:en:code-block:3	EN copyable mermaid block from Reusable workflow.	approved-code-only
include	Module 3	Shared artifacts	code-block	module-3-spec-driven-development/shared-artifacts/code-blocks/en/01-two-addresses-for-every-artifact.txt	book-source:course-pattern-shared-artifacts-content:en:code-block:1	EN copyable text block from Shared artifacts.	approved-code-only
include	Module 3	Shared artifacts	mermaid	module-3-spec-driven-development/shared-artifacts/code-blocks/en/02-who-brings-in-artifacts.mmd	book-source:course-pattern-shared-artifacts-content:en:code-block:2	EN copyable mermaid block from Shared artifacts.	approved-code-only
include	Module 3	Meta approach	code-block	module-3-spec-driven-development/meta-approach/code-blocks/en/01-a-skill-in-one-command.txt	book-source:course-pattern-meta-approach-content:en:code-block:1	EN copyable text block from Meta approach.	approved-code-only
include	Module 3	Meta approach	code-block	module-3-spec-driven-development/meta-approach/code-blocks/en/02-a-hook-via-a-meta-prompt.txt	book-source:course-pattern-meta-approach-content:en:code-block:2	EN copyable text block from Meta approach.	approved-code-only
include	Module 3	Deferred context disclosure	mermaid	module-3-spec-driven-development/deferred-context-disclosure/code-blocks/en/01-the-honest-boundary-this-is-a-monkey-patch.mmd	book-source:course-pattern-deferred-context-disclosure-content:en:code-block:1	EN copyable mermaid block from Deferred context disclosure.	approved-code-only
include	Module 3	Moral principles as invariants	mermaid	module-3-spec-driven-development/moral-principles-as-invariants/code-blocks/en/01-an-invariant-at-the-level-of-the-agent.mmd	book-source:course-lesson-moral-principles-invariants-content:en:code-block:1	EN copyable mermaid block from Moral principles as invariants.	approved-code-only
include	Module 3	Moral principles as invariants	code-block	module-3-spec-driven-development/moral-principles-as-invariants/code-blocks/en/02-how-this-looks-in-agents.md.md	book-source:course-lesson-moral-principles-invariants-content:en:code-block:2	EN copyable markdown block from Moral principles as invariants.	approved-code-only
include	Module 3	Spec-anchored, comparison pass	mermaid	module-3-spec-driven-development/spec-anchored-comparison-pass/code-blocks/en/01-three-documents-requirements-design-tasks.mmd	book-source:course-methodology-spec-anchored-comparison-content:en:code-block:1	EN copyable mermaid block from Spec-anchored, comparison pass.	approved-code-only
include	Module 3	Spec-anchored, comparison pass	code-block	module-3-spec-driven-development/spec-anchored-comparison-pass/code-blocks/en/02-tasks.md-in-what-order.js	book-source:course-methodology-spec-anchored-comparison-content:en:code-block:2	EN copyable javascript block from Spec-anchored, comparison pass.	approved-code-only
include	Module 3	Spec-anchored, comparison pass	code-block	module-3-spec-driven-development/spec-anchored-comparison-pass/code-blocks/en/03-requirements.md-excerpt.md	book-source:course-methodology-spec-anchored-comparison-content:en:code-block:3	EN copyable markdown block from Spec-anchored, comparison pass.	approved-code-only
include	Module 3	Spec-anchored, comparison pass	code-block	module-3-spec-driven-development/spec-anchored-comparison-pass/code-blocks/en/04-design.md-excerpt.md	book-source:course-methodology-spec-anchored-comparison-content:en:code-block:4	EN copyable markdown block from Spec-anchored, comparison pass.	approved-code-only
include	Module 3	Spec-anchored, comparison pass	code-block	module-3-spec-driven-development/spec-anchored-comparison-pass/code-blocks/en/05-tasks.md-excerpt.md	book-source:course-methodology-spec-anchored-comparison-content:en:code-block:5	EN copyable markdown block from Spec-anchored, comparison pass.	approved-code-only
include	Module 3	Spec-anchored, comparison pass	code-block	module-3-spec-driven-development/spec-anchored-comparison-pass/code-blocks/en/06-self-eval-in-action.txt	book-source:course-methodology-spec-anchored-comparison-content:en:code-block:6	EN copyable text block from Spec-anchored, comparison pass.	approved-code-only
include	Module 3	GitHub Spec Kit	mermaid	module-3-spec-driven-development/github-spec-kit/code-blocks/en/01-mechanics-commands-as-the-primitive.mmd	book-source:course-methodology-github-spec-kit-content:en:code-block:1	EN copyable mermaid block from GitHub Spec Kit.	approved-code-only
include	Module 3	GitHub Spec Kit	code-block	module-3-spec-driven-development/github-spec-kit/code-blocks/en/02-5.-tasks-the-task-factory.txt	book-source:course-methodology-github-spec-kit-content:en:code-block:2	EN copyable text block from GitHub Spec Kit.	approved-code-only
include	Module 3	OpenSpec	mermaid	module-3-spec-driven-development/openspec/code-blocks/en/01-lifecycle-actions-available-at-any-moment.mmd	book-source:course-methodology-openspec-content:en:code-block:1	EN copyable mermaid block from OpenSpec.	approved-code-only
include	Module 3	Kiro	mermaid	module-3-spec-driven-development/kiro/code-blocks/en/01-the-requirements-design-tasks-trinity-and-phase-gates.mmd	book-source:course-methodology-kiro-content:en:code-block:1	EN copyable mermaid block from Kiro.	approved-code-only
include	Module 3	Kiro	code-block	module-3-spec-driven-development/kiro/code-blocks/en/02-types-of-specifications-and-pass-variants.txt	book-source:course-methodology-kiro-content:en:code-block:2	EN copyable text block from Kiro.	approved-code-only
include	Module 3	Kiro	code-block	module-3-spec-driven-development/kiro/code-blocks/en/03-ears-notation-requirements-in-a-checkable-form.txt	book-source:course-methodology-kiro-content:en:code-block:3	EN copyable text block from Kiro.	approved-code-only
include	Module 3	Kiro	code-block	module-3-spec-driven-development/kiro/code-blocks/en/04-4.-tasks-and-execution-in-waves.txt	book-source:course-methodology-kiro-content:en:code-block:4	EN copyable text block from Kiro.	approved-code-only
include	Module 3	specs.md	mermaid	module-3-spec-driven-development/specs.md/code-blocks/en/01-one-installation-three-swappable-flows.mmd	book-source:course-methodology-specs-md-content:en:code-block:1	EN copyable mermaid block from specs.md.	approved-code-only
include	Module 3	specs.md	code-block	module-3-spec-driven-development/specs.md/code-blocks/en/02-simple-spec-generation-unit-feature.txt	book-source:course-methodology-specs-md-content:en:code-block:2	EN copyable text block from specs.md.	approved-code-only
include	Module 3	specs.md	mermaid	module-3-spec-driven-development/specs.md/code-blocks/en/03-ai-dlc-full-lifecycle-unit-intent-unit-story-bolt.mmd	book-source:course-methodology-specs-md-content:en:code-block:3	EN copyable mermaid block from specs.md.	approved-code-only
include	Module 3	specs.md	code-block	module-3-spec-driven-development/specs.md/code-blocks/en/04-ai-dlc-full-lifecycle-unit-intent-unit-story-bolt.txt	book-source:course-methodology-specs-md-content:en:code-block:4	EN copyable text block from specs.md.	approved-code-only
include	Module 3	superpowers	mermaid	module-3-spec-driven-development/superpowers/code-blocks/en/01-the-base-cycle-of-seven-skills.mmd	book-source:course-methodology-superpowers-content:en:code-block:1	EN copyable mermaid block from superpowers.	approved-code-only
include	Module 3	superpowers	code-block	module-3-spec-driven-development/superpowers/code-blocks/en/02-how-it-looks-on-the-example-of-the-query-api-over-the-audit-log.txt	book-source:course-methodology-superpowers-content:en:code-block:2	EN copyable text block from superpowers.	approved-code-only
include	Module 4	Multi-agent mode	mermaid	module-4-agent-team-scale/multi-agent-mode/code-blocks/en/01-between-the-idea-and-the-product-there-is-always-an-organization.mmd	book-source:course-lesson-multiagent-mode-content:en:code-block:1	EN copyable mermaid block from Multi-agent mode.	approved-code-only
include	Module 4	Metrics and the real bottleneck	mermaid	module-4-agent-team-scale/metrics-and-the-real-bottleneck/code-blocks/en/01-why-at-scale-you-cant-do-without-metrics.mmd	book-source:course-lesson-metrics-bottleneck-content:en:code-block:1	EN copyable mermaid block from Metrics and the real bottleneck.	approved-code-only
include	Module 4	Version Every Thing	code-block	module-4-agent-team-scale/version-every-thing/code-blocks/en/01-attach-the-set-of-versions-to-a-specific-run.yml	book-source:course-pattern-version-everything-content:en:code-block:1	EN copyable yaml block from Version Every Thing.	approved-code-only
include	Module 4	Version Every Thing	mermaid	module-4-agent-team-scale/version-every-thing/code-blocks/en/02-change-one-variable-and-take-measurements.mmd	book-source:course-pattern-version-everything-content:en:code-block:2	EN copyable mermaid block from Version Every Thing.	approved-code-only
include	Module 4	Quality gates and blast-radius control	mermaid	module-4-agent-team-scale/quality-gates-and-blast-radius-control/code-blocks/en/01-2.-assemble-the-same-chain-of-checks-locally-in-the-pr-and-in-ci.mmd	book-source:course-pattern-quality-gates-blast-radius-content:en:code-block:1	EN copyable mermaid block from Quality gates and blast-radius control.	approved-code-only
include	Module 4	Architectural tests	mermaid	module-4-agent-team-scale/architectural-tests/code-blocks/en/01-1.-first-state-the-boundary-in-a-form-that-can-be-checked.mmd	book-source:course-pattern-architectural-tests-content:en:code-block:1	EN copyable mermaid block from Architectural tests.	approved-code-only
include	Module 4	Architectural tests	code-block	module-4-agent-team-scale/architectural-tests/code-blocks/en/02-2.-turn-the-boundary-into-a-test-right-away.java	book-source:course-pattern-architectural-tests-content:en:code-block:2	EN copyable java block from Architectural tests.	approved-code-only
include	Module 4	Architectural tests	code-block	module-4-agent-team-scale/architectural-tests/code-blocks/en/03-2.-turn-the-boundary-into-a-test-right-away.java	book-source:course-pattern-architectural-tests-content:en:code-block:3	EN copyable java block from Architectural tests.	approved-code-only
include	Module 4	Architectural tests	code-block	module-4-agent-team-scale/architectural-tests/code-blocks/en/04-3.-install-the-sensor-before-implementing-the-feature-itself.txt	book-source:course-pattern-architectural-tests-content:en:code-block:4	EN copyable text block from Architectural tests.	approved-code-only
include	Module 4	Git worktrees and parallel subagents	code-block	module-4-agent-team-scale/git-worktrees-and-parallel-subagents/code-blocks/en/01-2.-give-each-subagent-a-separate-checkout.sh	book-source:course-pattern-git-worktrees-subagents-content:en:code-block:1	EN copyable bash block from Git worktrees and parallel subagents.	approved-code-only
include	Module 4	Git worktrees and parallel subagents	code-block	module-4-agent-team-scale/git-worktrees-and-parallel-subagents/code-blocks/en/02-2.-give-each-subagent-a-separate-checkout.txt	book-source:course-pattern-git-worktrees-subagents-content:en:code-block:2	EN copyable text block from Git worktrees and parallel subagents.	approved-code-only
include	Module 4	Git worktrees and parallel subagents	mermaid	module-4-agent-team-scale/git-worktrees-and-parallel-subagents/code-blocks/en/03-2.-give-each-subagent-a-separate-checkout.mmd	book-source:course-pattern-git-worktrees-subagents-content:en:code-block:3	EN copyable mermaid block from Git worktrees and parallel subagents.	approved-code-only
include	Module 4	Git worktrees and parallel subagents	code-block	module-4-agent-team-scale/git-worktrees-and-parallel-subagents/code-blocks/en/04-3.-launch-the-subagent-on-a-specific-task.txt	book-source:course-pattern-git-worktrees-subagents-content:en:code-block:4	EN copyable text block from Git worktrees and parallel subagents.	approved-code-only
include	Module 4	Git worktrees and parallel subagents	code-block	module-4-agent-team-scale/git-worktrees-and-parallel-subagents/code-blocks/en/05-5.-merge-changes-back-through-the-same-checks.sh	book-source:course-pattern-git-worktrees-subagents-content:en:code-block:5	EN copyable bash block from Git worktrees and parallel subagents.	approved-code-only
include	Module 4	Branch-and-merge orchestration	code-block	module-4-agent-team-scale/branch-and-merge-orchestration/code-blocks/en/01-1.-first-fix-the-unit-of-coordination.json	book-source:course-pattern-branch-merge-orchestration-content:en:code-block:1	EN copyable json block from Branch-and-merge orchestration.	approved-code-only
include	Module 4	Branch-and-merge orchestration	mermaid	module-4-agent-team-scale/branch-and-merge-orchestration/code-blocks/en/02-2.-next-assemble-a-dependency-graph-from-the-tasks.mmd	book-source:course-pattern-branch-merge-orchestration-content:en:code-block:2	EN copyable mermaid block from Branch-and-merge orchestration.	approved-code-only
include	Module 4	Hierarchical agent teams with shared memory	mermaid	module-4-agent-team-scale/hierarchical-agent-teams-with-shared-memory/code-blocks/en/01-5.-separate-brain-hands-session.mmd	book-source:course-pattern-hierarchical-agent-teams-content:en:code-block:1	EN copyable mermaid block from Hierarchical agent teams with shared memory.	approved-code-only
include	Module 4	Hierarchical agent teams with shared memory	code-block	module-4-agent-team-scale/hierarchical-agent-teams-with-shared-memory/code-blocks/en/02-9.-the-handoff-as-a-separate-artifact-the-reset-as-a-normal-mode.json	book-source:course-pattern-hierarchical-agent-teams-content:en:code-block:2	EN copyable json block from Hierarchical agent teams with shared memory.	approved-code-only
include	Module 4	Hierarchical agent teams with shared memory	code-block	module-4-agent-team-scale/hierarchical-agent-teams-with-shared-memory/code-blocks/en/03-10.-our-audit-log-example-over-several-days-of-work.txt	book-source:course-pattern-hierarchical-agent-teams-content:en:code-block:3	EN copyable text block from Hierarchical agent teams with shared memory.	approved-code-only
include	Module 4	Swarms and orchestration	code-block	module-4-agent-team-scale/swarms-and-orchestration/code-blocks/en/01-4.-orchestration-relies-on-events-and-contracts.json	book-source:course-pattern-swarms-orchestration-content:en:code-block:1	EN copyable json block from Swarms and orchestration.	approved-code-only
include	Module 4	Swarms and orchestration	mermaid	module-4-agent-team-scale/swarms-and-orchestration/code-blocks/en/02-6.-so-the-swarm-needs-a-control-loop.mmd	book-source:course-pattern-swarms-orchestration-content:en:code-block:2	EN copyable mermaid block from Swarms and orchestration.	approved-code-only
include	Module 4	Swarms and orchestration	code-block	module-4-agent-team-scale/swarms-and-orchestration/code-blocks/en/03-7.-what-this-looks-like-in-the-audit-log-example.txt	book-source:course-pattern-swarms-orchestration-content:en:code-block:3	EN copyable text block from Swarms and orchestration.	approved-code-only
include	Module 4	Agent-human separation of responsibilities	code-block	module-4-agent-team-scale/agent-human-separation-of-responsibilities/code-blocks/en/01-2.-the-first-stage-is-done-by-the-review-bot.txt	book-source:course-pattern-agent-human-responsibilities-content:en:code-block:1	EN copyable text block from Agent-human separation of responsibilities.	approved-code-only
include	Module 4	Agent-human separation of responsibilities	mermaid	module-4-agent-team-scale/agent-human-separation-of-responsibilities/code-blocks/en/02-5.-where-this-pattern-has-its-limit.mmd	book-source:course-pattern-agent-human-responsibilities-content:en:code-block:2	EN copyable mermaid block from Agent-human separation of responsibilities.	approved-code-only
include	Module 4	Aspect Oriented Programming proxy	code-block	module-4-agent-team-scale/aspect-oriented-programming-proxy/code-blocks/en/01-4.-the-second-path-api-layer-proxy.txt	book-source:course-pattern-aspect-oriented-proxy-content:en:code-block:1	EN copyable text block from Aspect Oriented Programming proxy.	approved-code-only
include	Module 4	Reproducibility unit plus audit trail	code-block	module-4-agent-team-scale/reproducibility-unit-plus-audit-trail/code-blocks/en/01-2.-attach-the-configuration-manifest-to-a-specific-run.yml	book-source:course-pattern-reproducibility-unit-audit-trail-content:en:code-block:1	EN copyable yaml block from Reproducibility unit plus audit trail.	approved-code-only
include	Module 4	Reproducibility unit plus audit trail	mermaid	module-4-agent-team-scale/reproducibility-unit-plus-audit-trail/code-blocks/en/02-2.-attach-the-configuration-manifest-to-a-specific-run.mmd	book-source:course-pattern-reproducibility-unit-audit-trail-content:en:code-block:2	EN copyable mermaid block from Reproducibility unit plus audit trail.	approved-code-only
include	Module 4	Reproducibility unit plus audit trail	code-block	module-4-agent-team-scale/reproducibility-unit-plus-audit-trail/code-blocks/en/03-3.-keep-the-action-log-as-a-structured-trail-of-the-solution.yml	book-source:course-pattern-reproducibility-unit-audit-trail-content:en:code-block:3	EN copyable yaml block from Reproducibility unit plus audit trail.	approved-code-only
include	Module 4	Tessl	code-block	module-4-agent-team-scale/tessl/code-blocks/en/01-the-unit-of-work-tile.txt	book-source:course-methodology-tessl-content:en:code-block:1	EN copyable text block from Tessl.	approved-code-only
include	Module 4	Tessl	code-block	module-4-agent-team-scale/tessl/code-blocks/en/02-the-unit-of-work-tile.txt	book-source:course-methodology-tessl-content:en:code-block:2	EN copyable text block from Tessl.	approved-code-only
include	Module 4	Tessl	code-block	module-4-agent-team-scale/tessl/code-blocks/en/03-step-2.-i-extract-the-context-package.txt	book-source:course-methodology-tessl-content:en:code-block:3	EN copyable text block from Tessl.	approved-code-only
include	Module 4	Augment Cosmos	mermaid	module-4-agent-team-scale/augment-cosmos/code-blocks/en/01-unit-of-work-automation-for-the-organization-session-for-a-single-run.mmd	book-source:course-methodology-augment-cosmos-content:en:code-block:1	EN copyable mermaid block from Augment Cosmos.	approved-code-only
include	Module 4	Augment Cosmos	mermaid	module-4-agent-team-scale/augment-cosmos/code-blocks/en/02-scenario-jira-ticket-reviewed-pr-for-improving-audit-log-service.mmd	book-source:course-methodology-augment-cosmos-content:en:code-block:2	EN copyable mermaid block from Augment Cosmos.	approved-code-only
include	Module 4	AI-DLC	code-block	module-4-agent-team-scale/ai-dlc/code-blocks/en/01-what-is-considered-the-fundamental-entity-here.txt	book-source:course-methodology-ai-dlc-content:en:code-block:1	EN copyable text block from AI-DLC.	approved-code-only
